,gap_capital injection,gap_crowdfunding,gap_preferred stock,gap_recapitalization,gap_venture capital,gap_virtual data room,score_capital injection,score_crowdfunding,score_preferred stock,score_recapitalization,score_venture capital,score_virtual data room,rating_capital injection,rating_crowdfunding,rating_preferred stock,rating_recapitalization,rating_venture capital,rating_virtual data room,label
100thieves.com,6.0,6.0,0.5666666666666667,6.0,6.0,6.0,70.0,70.0,97.06666564941406,70.0,70.0,70.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
12stonehealth.com,0.8999999999999999,0.8999999999999999,6.0,6.0,0.8999999999999999,0.8999999999999999,84.5,74.0,70.0,70.0,76.0,88.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0
3ctechs.com,6.0,1.6022423679894173,6.0,1.865018891747796,6.0,6.0,70.0,72.0,70.0,74.93333435058594,70.0,70.0,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,0.0
3gtms.com,0.6666666666666666,0.6666666666666666,6.0,6.0,0.6666666666666666,0.6666666666666666,83.0,95.0,70.0,70.0,92.0,96.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0
5apes.com,6.0,6.0,3.5796568762242207,6.0,6.0,6.0,70.0,70.0,81.5,70.0,70.0,70.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
7delta.com,2.649350694359142,2.49900300882128,2.924495157574227,2.713417867517162,2.3884994322328774,2.609036348023958,84.5,82.58333587646484,80.875,72.45833587646484,84.28333282470703,85.79666900634766,2.783333333333333,3.083333333333333,2.5625,1.0,3.8,3.2700000000000005,0.0
a-smeds.com,4.305157966532998,3.893521851247733,6.0,4.042047917044363,4.024308974725678,4.29579424547005,83.0,76.16667175292969,70.0,71.33332824707031,76.0,83.0,2.666666666666667,1.8333333333333335,1.0,1.0,2.0,2.833333333333333,0.0
aadibio.com,1.3055139980393151,6.0,1.7964370384321464,1.715238984683094,1.441271838894391,1.6478350683874985,72.0,70.0,74.0,75.0,72.0,75.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
academyofbusinesscredit.com,3.236465874483274,3.2523287454776524,3.2013553368471332,3.1878455943362862,3.0487016462689485,2.350892989342295,73.77083587646484,78.8125,80.77777862548828,72.8888931274414,73.0625,73.5,1.25,2.25,2.6666666666666665,1.0,1.25,1.0,0.0
accedian.com,2.621037252609116,6.0,6.0,6.0,2.7938204651605987,2.552280519476583,79.19999694824219,70.0,70.0,70.0,76.05555725097656,82.06666564941406,2.3333333333333335,1.0,1.0,1.0,2.0,2.5,0.0
